id,updated,confirmed,confirmed_change,deaths,deaths_change,recovered,recovered_change,latitude,longitude,iso2,iso3,country_region,admin_region_1,iso_subdivision,admin_region_2,load_time
339040,2020-03-06,98192,2868,3380,99,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339041,2020-03-07,101927,3735,3486,106,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339042,2020-03-08,105586,3659,3584,98,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339043,2020-03-09,109577,3991,3809,225,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339044,2020-03-10,113702,4125,4012,203,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339045,2020-03-11,118319,4617,4292,280,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339046,2020-03-12,125260,6941,4613,321,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339047,2020-03-13,132755,7495,4955,342,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339048,2020-03-14,142534,9779,5392,437,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339049,2020-03-15,153517,10983,5735,343,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339050,2020-03-16,167515,13998,6606,871,,,,,,,Worldwide,,,,2023-06-17 00:05:40
339051,2020-03-17,179111,11596,7426,820,81727,,,,,,Worldwide,,,,2023-06-17 00:05:40
339052,2020-03-18,191127,12016,7807,381,84446,2719,,,,,Worldwide,,,,2023-06-17 00:05:40
150051,2020-03-19,244799,53672,10030,2223,87407,2961,,,,,Worldwide,,,,2023-06-17 00:05:40
204566,2020-03-20,275130,30331,11376,1346,90943,3536,,,,,Worldwide,,,,2023-06-17 00:05:40
325129,2020-03-21,304999,29869,13003,1627,94793,3850,,,,,Worldwide,,,,2023-06-17 00:05:40
444295,2020-03-22,335403,30404,14611,1608,97636,2843,,,,,Worldwide,,,,2023-06-17 00:05:40
612670,2020-03-23,378394,42991,16491,1880,101584,3948,,,,,Worldwide,,,,2023-06-17 00:05:40
797487,2020-03-24,417663,39269,18605,2114,108312,6728,,,,,Worldwide,,,,2023-06-17 00:05:40
993962,2020-03-25,463387,45724,20912,2307,113802,5490,,,,,Worldwide,,,,2023-06-17 00:05:40
1216984,2020-03-26,529614,66227,23714,2802,121454,7652,,,,,Worldwide,,,,2023-06-17 00:05:40
1367645,2020-03-27,587958,58344,26909,3195,132440,10986,,,,,Worldwide,,,,2023-06-17 00:05:40
1460188,2020-03-28,662541,74583,30839,3930,141468,9028,,,,,Worldwide,,,,2023-06-17 00:05:40
1673794,2020-03-29,720415,57874,33908,3069,150918,9450,,,,,Worldwide,,,,2023-06-17 00:05:40
1946924,2020-03-30,777286,56871,37140,3232,164446,13528,,,,,Worldwide,,,,2023-06-17 00:05:40
2209715,2020-03-31,856955,79669,42089,4949,177917,13471,,,,,Worldwide,,,,2023-06-17 00:05:40
2486437,2020-04-01,932605,75650,46809,4720,193259,15342,,,,,Worldwide,,,,2023-06-17 00:05:40
2769463,2020-04-02,1011490,78885,52863,6054,210186,16927,,,,,Worldwide,,,,2023-06-17 00:05:40
3090977,2020-04-03,1095917,84427,58787,5924,225796,15610,,,,,Worldwide,,,,2023-06-17 00:05:40
3429904,2020-04-04,1196553,100636,64549,5762,246108,20312,,,,,Worldwide,,,,2023-06-17 00:05:40
3750617,2020-04-05,1272115,75562,69309,4760,260012,13904,,,,,Worldwide,,,,2023-06-17 00:05:40
4016373,2020-04-06,1341907,69792,74565,5256,276259,16247,,,,,Worldwide,,,,2023-06-17 00:05:40
4309179,2020-04-07,1426096,84189,81259,6694,300054,23795,,,,,Worldwide,,,,2023-06-17 00:05:40
4551545,2020-04-08,1504971,78875,87984,6725,328661,28607,,,,,Worldwide,,,,2023-06-17 00:05:40
4728946,2020-04-09,1587209,82238,94850,6866,353291,24630,,,,,Worldwide,,,,2023-06-17 00:05:40
4898837,2020-04-10,1684833,97624,102136,7286,375499,22208,,,,,Worldwide,,,,2023-06-17 00:05:40
5310451,2020-04-11,1764622,79789,107904,5768,385999,10500,,,,,Worldwide,,,,2023-06-17 00:05:40
5134319,2020-04-12,1912923,148301,107904,0,421497,35498,,,,,Worldwide,,,,2023-06-17 00:05:40
5261547,2020-04-13,1970879,57956,118966,11062,448053,26556,,,,,Worldwide,,,,2023-06-17 00:05:40
5305989,2020-04-14,2056055,85176,125678,6712,472948,24895,,,,,Worldwide,,,,2023-06-17 00:05:40
5347997,2020-04-15,2151199,95144,133572,7894,511019,38071,,,,,Worldwide,,,,2023-06-17 00:05:40
5429132,2020-04-16,2234109,82910,143725,10153,541501,30482,,,,,Worldwide,,,,2023-06-17 00:05:40
5440228,2020-04-17,2310572,76463,153379,9654,567695,26194,,,,,Worldwide,,,,2023-06-17 00:05:40
5448942,2020-04-18,2394291,83719,158691,5312,590682,22987,,,,,Worldwide,,,,2023-06-17 00:05:40
5457903,2020-04-19,2470410,76119,164938,6247,611880,21198,,,,,Worldwide,,,,2023-06-17 00:05:40
5467891,2020-04-20,2560504,90094,169794,4856,645335,33455,,,,,Worldwide,,,,2023-06-17 00:05:40
5495212,2020-04-21,2628894,68390,176926,7132,679793,34458,,,,,Worldwide,,,,2023-06-17 00:05:40
5562397,2020-04-22,2699338,70444,182992,6066,709050,29257,,,,,Worldwide,,,,2023-06-17 00:05:40
6650426,2020-04-23,2790986,91648,188437,5445,737735,28685,,,,,Worldwide,,,,2023-06-17 00:05:40
6906714,2020-04-24,2868539,77553,195920,7483,781382,43647,,,,,Worldwide,,,,2023-06-17 00:05:40
6955177,2020-04-25,2965363,96824,201502,5582,811660,30278,,,,,Worldwide,,,,2023-06-17 00:05:40
7002306,2020-04-26,3002303,36940,206265,4763,863464,51804,,,,,Worldwide,,,,2023-06-17 00:05:40
7055144,2020-04-27,3083467,81164,208131,1866,878813,15349,,,,,Worldwide,,,,2023-06-17 00:05:40
7098114,2020-04-28,3170335,86868,213824,5693,915988,37175,,,,,Worldwide,,,,2023-06-17 00:05:40
7522181,2020-04-29,3249022,78687,224708,10884,958353,42365,,,,,Worldwide,,,,2023-06-17 00:05:40
7997577,2020-04-30,3303296,54274,230804,6096,1006112,47759,,,,,Worldwide,,,,2023-06-17 00:05:40
8479449,2020-05-01,3419184,115888,235290,4486,1039588,33476,,,,,Worldwide,,,,2023-06-17 00:05:40
8922151,2020-05-02,3502126,82942,243355,8065,1092644,53056,,,,,Worldwide,,,,2023-06-17 00:05:40
9388541,2020-05-03,3578301,76175,247107,3752,1124127,31483,,,,,Worldwide,,,,2023-06-17 00:05:40
9863005,2020-05-04,3659271,80970,251059,3952,1162279,38152,,,,,Worldwide,,,,2023-06-17 00:05:40
10308709,2020-05-05,3744585,85314,256736,5677,1197340,35061,,,,,Worldwide,,,,2023-06-17 00:05:40
10776908,2020-05-06,3836215,91630,263068,6332,1238250,40910,,,,,Worldwide,,,,2023-06-17 00:05:40
11286400,2020-05-07,3932896,96681,268999,5931,1278499,40249,,,,,Worldwide,,,,2023-06-17 00:05:40
11778334,2020-05-08,4018342,85446,274422,5423,1313004,34505,,,,,Worldwide,,,,2023-06-17 00:05:40
12224629,2020-05-09,4097158,78816,278756,4334,1363698,50694,,,,,Worldwide,,,,2023-06-17 00:05:40
12674148,2020-05-10,4168427,71269,282495,3739,1402882,39184,,,,,Worldwide,,,,2023-06-17 00:05:40
13152783,2020-05-11,4233504,65077,285445,2950,1452626,49744,,,,,Worldwide,,,,2023-06-17 00:05:40
13612685,2020-05-12,4336973,103469,289932,4487,1481314,28688,,,,,Worldwide,,,,2023-06-17 00:05:40
14064683,2020-05-13,4434590,97617,296252,6320,1540464,59150,,,,,Worldwide,,,,2023-06-17 00:05:40
14494766,2020-05-14,4531811,97221,301937,5685,1583929,43465,,,,,Worldwide,,,,2023-06-17 00:05:40
14923458,2020-05-15,4626632,94821,307001,5064,1632286,48357,,,,,Worldwide,,,,2023-06-17 00:05:40
15332735,2020-05-16,4710614,83982,311363,4362,1679428,47142,,,,,Worldwide,,,,2023-06-17 00:05:40
15763695,2020-05-17,4786672,76058,315023,3660,1732344,52916,,,,,Worldwide,,,,2023-06-17 00:05:40
16188753,2020-05-18,4889287,102615,317695,2672,1776641,44297,,,,,Worldwide,,,,2023-06-17 00:05:40
16631510,2020-05-19,4968689,79402,322683,4988,1679155,-97486,,,,,Worldwide,,,,2023-06-17 00:05:40
17054212,2020-05-20,5076846,108157,326515,3832,1885535,206380,,,,,Worldwide,,,,2023-06-17 00:05:40
17464727,2020-05-21,5180982,104136,332425,5910,1936947,51412,,,,,Worldwide,,,,2023-06-17 00:05:40
17857536,2020-05-22,5280743,99761,336432,4007,1992496,55549,,,,,Worldwide,,,,2023-06-17 00:05:40
18284171,2020-05-23,5383582,102839,340477,4045,2090465,97969,,,,,Worldwide,,,,2023-06-17 00:05:40
18684563,2020-05-24,5471768,88186,344077,3600,2158031,67566,,,,,Worldwide,,,,2023-06-17 00:05:40
19070668,2020-05-25,5559130,87362,344911,834,2223523,65492,,,,,Worldwide,,,,2023-06-17 00:05:40
19509645,2020-05-26,5682389,123259,348610,3699,2271268,47745,,,,,Worldwide,,,,2023-06-17 00:05:40
20116729,2020-05-27,5803416,121027,354944,6334,2337385,66117,,,,,Worldwide,,,,2023-06-17 00:05:40
20686443,2020-05-28,5916464,113048,359791,4847,2399247,61862,,,,,Worldwide,,,,2023-06-17 00:05:40
21233502,2020-05-29,6048384,131920,364357,4566,2486634,87387,,,,,Worldwide,,,,2023-06-17 00:05:40
21797053,2020-05-30,6132154,83770,368604,4247,2538227,51593,,,,,Worldwide,,,,2023-06-17 00:05:40
22323956,2020-05-31,6246042,113888,371154,2550,2631567,93340,,,,,Worldwide,,,,2023-06-17 00:05:40
22918439,2020-06-01,6325303,79261,374452,3298,2687848,56281,,,,,Worldwide,,,,2023-06-17 00:05:40
23455228,2020-06-02,6444298,118995,377460,3008,2727679,39831,,,,,Worldwide,,,,2023-06-17 00:05:40
24042086,2020-06-03,6573286,128988,382435,4975,2764304,36625,,,,,Worldwide,,,,2023-06-17 00:05:40
24518546,2020-06-04,6722408,149122,387898,5463,2837955,73651,,,,,Worldwide,,,,2023-06-17 00:05:40
25045072,2020-06-05,6852810,130402,393934,6036,2996534,158579,,,,,Worldwide,,,,2023-06-17 00:05:40
25554845,2020-06-06,6979789,126979,398211,4277,3071142,74608,,,,,Worldwide,,,,2023-06-17 00:05:40
26103673,2020-06-07,7085894,106105,401848,3637,3130301,59159,,,,,Worldwide,,,,2023-06-17 00:05:40
26651309,2020-06-08,7185573,99679,405168,3320,3180479,50178,,,,,Worldwide,,,,2023-06-17 00:05:40
27209200,2020-06-09,7313661,128088,408954,3786,3352665,172186,,,,,Worldwide,,,,2023-06-17 00:05:40
27755055,2020-06-10,7414050,100389,413854,4900,3442630,89965,,,,,Worldwide,,,,2023-06-17 00:05:40
28159408,2020-06-11,7617591,203541,417514,3660,3488251,45621,,,,,Worldwide,,,,2023-06-17 00:05:40
28865518,2020-06-12,7715890,98299,424587,7073,3601584,113333,,,,,Worldwide,,,,2023-06-17 00:05:40
29356304,2020-06-13,7835340,119450,427670,3083,3662834,61250,,,,,Worldwide,,,,2023-06-17 00:05:40
29863712,2020-06-14,7963453,128113,431141,3471,3733612,70778,,,,,Worldwide,,,,2023-06-17 00:05:40
30354143,2020-06-15,8085932,122479,434432,3291,3809566,75954,,,,,Worldwide,,,,2023-06-17 00:05:40
30861106,2020-06-16,8261260,175328,438453,4021,3918176,108610,,,,,Worldwide,,,,2023-06-17 00:05:40
31454902,2020-06-17,8400320,139060,445468,7015,4013202,95026,,,,,Worldwide,,,,2023-06-17 00:05:40
32032389,2020-06-18,8519543,119223,450435,4967,4109183,95981,,,,,Worldwide,,,,2023-06-17 00:05:40
32608187,2020-06-19,8716985,197442,454582,4147,4184445,75262,,,,,Worldwide,,,,2023-06-17 00:05:40
33194606,2020-06-20,8802328,85343,461206,6624,4286643,102198,,,,,Worldwide,,,,2023-06-17 00:05:40
33780214,2020-06-21,9030328,228000,464620,3414,4372440,85797,,,,,Worldwide,,,,2023-06-17 00:05:40
34412776,2020-06-22,9154232,123904,469939,5319,4475013,102573,,,,,Worldwide,,,,2023-06-17 00:05:40
34940271,2020-06-23,9237691,83459,473650,3711,4585022,110009,,,,,Worldwide,,,,2023-06-17 00:05:40
35481457,2020-06-24,9494571,256880,476911,3261,4613425,28403,,,,,Worldwide,,,,2023-06-17 00:05:40
36079943,2020-06-25,9641472,146901,484155,7244,4782910,169485,,,,,Worldwide,,,,2023-06-17 00:05:40
36691575,2020-06-26,9891727,250255,489990,5835,4865562,82652,,,,,Worldwide,,,,2023-06-17 00:05:40
37296710,2020-06-27,10044731,153004,496075,6085,5004567,139005,,,,,Worldwide,,,,2023-06-17 00:05:40
37923244,2020-06-28,10199798,155067,499892,3817,5085018,80451,,,,,Worldwide,,,,2023-06-17 00:05:40
38540643,2020-06-29,10368165,168367,502947,3055,5169421,84403,,,,,Worldwide,,,,2023-06-17 00:05:40
39017890,2020-06-30,10512383,144218,507188,4241,5284524,115103,,,,,Worldwide,,,,2023-06-17 00:05:40
39305170,2020-07-01,10694288,181905,512331,5143,5387249,102725,,,,,Worldwide,,,,2023-06-17 00:05:40
39588896,2020-07-02,10874146,179858,516210,3879,5480394,93145,,,,,Worldwide,,,,2023-06-17 00:05:40
39883714,2020-07-03,11169802,295656,521355,5145,5767410,287016,,,,,Worldwide,,,,2023-06-17 00:05:40
40158101,2020-07-04,11304534,134732,528232,6877,6010342,242932,,,,,Worldwide,,,,2023-06-17 00:05:40
40454707,2020-07-05,11483400,178866,531659,3427,6111195,100853,,,,,Worldwide,,,,2023-06-17 00:05:40
40773091,2020-07-06,11694766,211366,535027,3368,6214206,103011,,,,,Worldwide,,,,2023-06-17 00:05:40
41187470,2020-07-07,11910220,215454,540157,5130,6349542,135336,,,,,Worldwide,,,,2023-06-17 00:05:40
41493640,2020-07-08,12169400,259180,546318,6161,6506408,156866,,,,,Worldwide,,,,2023-06-17 00:05:40
41808294,2020-07-09,12373722,204322,552104,5786,6696322,189914,,,,,Worldwide,,,,2023-06-17 00:05:40
42121192,2020-07-10,12507849,134127,556863,4759,6786196,89874,,,,,Worldwide,,,,2023-06-17 00:05:40
42422452,2020-07-11,12726677,218828,560460,3597,6890914,104718,,,,,Worldwide,,,,2023-06-17 00:05:40
42736774,2020-07-12,12945505,218828,560460,0,6890914,0,,,,,Worldwide,,,,2023-06-17 00:05:40
43030172,2020-07-13,13203571,258066,571444,10984,7001675,110761,,,,,Worldwide,,,,2023-06-17 00:05:40
43478248,2020-07-14,13382020,178449,575201,3757,7331068,329393,,,,,Worldwide,,,,2023-06-17 00:05:40
43857614,2020-07-15,13654445,272425,580038,4837,7445299,114231,,,,,Worldwide,,,,2023-06-17 00:05:40
44258322,2020-07-16,13926476,272031,586174,6136,7622505,177206,,,,,Worldwide,,,,2023-06-17 00:05:40
44599052,2020-07-17,14126035,199559,593209,7035,7796508,174003,,,,,Worldwide,,,,2023-06-17 00:05:40
44941161,2020-07-18,14394056,268021,598098,4889,7931486,134978,,,,,Worldwide,,,,2023-06-17 00:05:40
45291362,2020-07-19,14608517,214461,603697,5599,8084942,153456,,,,,Worldwide,,,,2023-06-17 00:05:40
45587461,2020-07-20,14774887,166370,608420,4723,8201516,116574,,,,,Worldwide,,,,2023-06-17 00:05:40
45911736,2020-07-21,15008046,233159,611599,3179,8340042,138526,,,,,Worldwide,,,,2023-06-17 00:05:40
46246010,2020-07-22,15429889,421843,617902,6303,8511330,171288,,,,,Worldwide,,,,2023-06-17 00:05:40
46554267,2020-07-23,15628936,199047,631680,13778,8758636,247306,,,,,Worldwide,,,,2023-06-17 00:05:40
46907010,2020-07-24,15909757,280821,636262,4582,8917141,158505,,,,,Worldwide,,,,2023-06-17 00:05:40
47233887,2020-07-25,16117308,207551,641889,5627,9164700,247559,,,,,Worldwide,,,,2023-06-17 00:05:40
47556672,2020-07-26,16360298,242990,645482,3593,9289876,125176,,,,,Worldwide,,,,2023-06-17 00:05:40
47898855,2020-07-27,16605067,244769,650918,5436,9454796,164920,,,,,Worldwide,,,,2023-06-17 00:05:40
48215961,2020-07-28,16845602,240535,657337,6419,9644387,189591,,,,,Worldwide,,,,2023-06-17 00:05:40
48551108,2020-07-29,17109335,263733,662577,5240,9836182,191795,,,,,Worldwide,,,,2023-06-17 00:05:40
48867829,2020-07-30,17321394,212059,668801,6224,10000738,164556,,,,,Worldwide,,,,2023-06-17 00:05:40
49179093,2020-07-31,17594541,273147,673822,5021,10155026,154288,,,,,Worldwide,,,,2023-06-17 00:05:40
49484044,2020-08-01,17852451,257910,679439,5617,10333166,178140,,,,,Worldwide,,,,2023-06-17 00:05:40
49805367,2020-08-02,18166298,313847,679794,355,10598327,265161,,,,,Worldwide,,,,2023-06-17 00:05:40
50117435,2020-08-03,18445787,279489,690953,11159,10768016,169689,,,,,Worldwide,,,,2023-06-17 00:05:40
50411990,2020-08-04,18635877,190090,691740,787,11036083,268067,,,,,Worldwide,,,,2023-06-17 00:05:40
50718530,2020-08-05,18982658,346781,702903,11163,11206409,170326,,,,,Worldwide,,,,2023-06-17 00:05:40
51066302,2020-08-06,19160806,178148,712266,9363,11477642,271233,,,,,Worldwide,,,,2023-06-17 00:05:40
51398145,2020-08-07,19481330,320524,716083,3817,11605114,127472,,,,,Worldwide,,,,2023-06-17 00:05:40
51709870,2020-08-08,19734428,253098,723599,7516,11801847,196733,,,,,Worldwide,,,,2023-06-17 00:05:40
52032571,2020-08-09,19958036,223608,728612,5013,12001537,199690,,,,,Worldwide,,,,2023-06-17 00:05:40
52354419,2020-08-10,20185153,227117,732889,4277,12158075,156538,,,,,Worldwide,,,,2023-06-17 00:05:40
52687114,2020-08-11,20423897,238744,738800,5911,12450681,292606,,,,,Worldwide,,,,2023-06-17 00:05:40
52986471,2020-08-12,20624316,200419,744649,5849,12631548,180867,,,,,Worldwide,,,,2023-06-17 00:05:40
53301563,2020-08-13,21036943,412627,749421,4772,12831800,200252,,,,,Worldwide,,,,2023-06-17 00:05:40
53626081,2020-08-14,21280608,243665,761926,12505,13048974,217174,,,,,Worldwide,,,,2023-06-17 00:05:40
53968267,2020-08-15,21582345,301737,767422,5496,13290879,241905,,,,,Worldwide,,,,2023-06-17 00:05:40
54300153,2020-08-16,21739501,157156,773469,6047,13590831,299952,,,,,Worldwide,,,,2023-06-17 00:05:40
54628821,2020-08-17,21974393,234892,776241,2772,13702873,112042,,,,,Worldwide,,,,2023-06-17 00:05:40
54954952,2020-08-18,22218441,244048,779562,3321,13934532,231659,,,,,Worldwide,,,,2023-06-17 00:05:40
55281106,2020-08-19,22515213,296772,782883,3321,14156538,222006,,,,,Worldwide,,,,2023-06-17 00:05:40
55596022,2020-08-20,22803344,288131,789825,6942,14381048,224510,,,,,Worldwide,,,,2023-06-17 00:05:40
55925660,2020-08-21,22954220,150876,796095,6270,14596332,215284,,,,,Worldwide,,,,2023-06-17 00:05:40
56255319,2020-08-22,23309597,355377,799350,3255,14715412,119080,,,,,Worldwide,,,,2023-06-17 00:05:40
56588811,2020-08-23,23424844,115247,806543,7193,15007062,291650,,,,,Worldwide,,,,2023-06-17 00:05:40
56903851,2020-08-24,23694646,269802,808716,2173,15150767,143705,,,,,Worldwide,,,,2023-06-17 00:05:40
57225503,2020-08-25,24011502,316856,814354,5638,15381104,230337,,,,,Worldwide,,,,2023-06-17 00:05:40
57593564,2020-08-26,24288572,277070,821909,7555,15636116,255012,,,,,Worldwide,,,,2023-06-17 00:05:40
57900498,2020-08-27,24563380,274808,828070,6161,15856795,220679,,,,,Worldwide,,,,2023-06-17 00:05:40
58210875,2020-08-28,24776988,213608,833466,5396,16051454,194659,,,,,Worldwide,,,,2023-06-17 00:05:40
58498609,2020-08-29,25051178,274190,837979,4513,16227851,176397,,,,,Worldwide,,,,2023-06-17 00:05:40
58804438,2020-08-30,25334339,283161,843586,5607,16451018,223167,,,,,Worldwide,,,,2023-06-17 00:05:40
59067883,2020-08-31,25584820,250481,848084,4498,16669974,218956,,,,,Worldwide,,,,2023-06-17 00:05:40
59351710,2020-09-01,25835301,250481,848084,0,16669974,0,,,,,Worldwide,,,,2023-06-17 00:05:40
59653305,2020-09-02,26140922,305621,858661,10577,17122192,452218,,,,,Worldwide,,,,2023-06-17 00:05:40
60004390,2020-09-03,26437886,296964,865467,6806,17387319,265127,,,,,Worldwide,,,,2023-06-17 00:05:40
60346226,2020-09-04,26622706,184820,871205,5738,17573533,186214,,,,,Worldwide,,,,2023-06-17 00:05:40
60680617,2020-09-05,26961795,339089,874708,3503,17717911,144378,,,,,Worldwide,,,,2023-06-17 00:05:40
60999090,2020-09-06,27235839,274044,880955,6247,18021000,303089,,,,,Worldwide,,,,2023-06-17 00:05:40
61310529,2020-09-07,27437294,201455,890687,9732,18191761,170761,,,,,Worldwide,,,,2023-06-17 00:05:40
61589964,2020-09-08,27605560,168266,894430,3743,18415364,223603,,,,,Worldwide,,,,2023-06-17 00:05:40
61905903,2020-09-09,27933388,327828,898269,3839,18565072,149708,,,,,Worldwide,,,,2023-06-17 00:05:40
61969075,2020-09-10,28268970,335582,905181,6912,18819388,254316,,,,,Worldwide,,,,2023-06-17 00:05:40
62328780,2020-09-11,28606726,337756,911282,6101,19048042,228654,,,,,Worldwide,,,,2023-06-17 00:05:40
62720553,2020-09-12,28855994,249268,917417,6135,19288985,240943,,,,,Worldwide,,,,2023-06-17 00:05:40
63087717,2020-09-13,29145068,289074,921698,4281,19511976,222991,,,,,Worldwide,,,,2023-06-17 00:05:40
63414798,2020-09-14,29408424,263356,925947,4249,19681709,169733,,,,,Worldwide,,,,2023-06-17 00:05:40
63739017,2020-09-15,29730140,321716,931167,5220,19951166,269457,,,,,Worldwide,,,,2023-06-17 00:05:40
64101931,2020-09-16,30003378,273238,938575,7408,20202899,251733,,,,,Worldwide,,,,2023-06-17 00:05:40
64435934,2020-09-17,30290791,287413,943203,4628,20398381,195482,,,,,Worldwide,,,,2023-06-17 00:05:40
64835287,2020-09-18,30588989,298198,947919,4716,20623028,224647,,,,,Worldwide,,,,2023-06-17 00:05:40
65233756,2020-09-19,30859069,270080,953482,5563,20832830,209802,,,,,Worldwide,,,,2023-06-17 00:05:40
65637628,2020-09-20,31181782,322713,958314,4832,21099095,266265,,,,,Worldwide,,,,2023-06-17 00:05:40
66018801,2020-09-21,31453048,271266,962266,3952,21300501,201406,,,,,Worldwide,,,,2023-06-17 00:05:40
66383549,2020-09-22,31759233,306185,967347,5081,21583667,283166,,,,,Worldwide,,,,2023-06-17 00:05:40
66792413,2020-09-23,32068225,308992,973904,6557,21811742,228075,,,,,Worldwide,,,,2023-06-17 00:05:40
67185093,2020-09-24,32397479,329254,979862,5958,22059084,247342,,,,,Worldwide,,,,2023-06-17 00:05:40
67581831,2020-09-25,32636842,239363,985748,5886,22313269,254185,,,,,Worldwide,,,,2023-06-17 00:05:40
67965654,2020-09-26,32949407,312565,990134,4386,22525177,211908,,,,,Worldwide,,,,2023-06-17 00:05:40
68265390,2020-09-27,33156812,207405,995658,5524,22787799,262622,,,,,Worldwide,,,,2023-06-17 00:05:40
68655368,2020-09-28,33489205,332393,998696,3038,22961436,173637,,,,,Worldwide,,,,2023-06-17 00:05:40
